question,options,answer,answer_idx,source
"Joe was gentle when he was setting the cup on the table, because it didn't want to make any what?","['distractions', 'water mark', 'put down', 'noise']",noise,3,csqa
The liver converts glucose to glycogen for storage. Why is this function considered a chemical change?,"['because the conversion transforms solids to liquids', 'because the conversion allows for less glucose in the liver', 'because the conversion changes one substance to a new one', 'because the conversion changes the shape of the liver cells']",because the conversion changes one substance to a new one,2,arc
Scientists analyzed the cells of an animal to determine the cause of an infection. The scientists did not agree on the results of the analysis. What does this disagreement indicate about the nature of science?,"['Scientists can present data in different formats.', 'Scientific results can be interpreted in different ways.', 'Scientists are capable of making unsupported claims.', 'Scientific results are often different from the expected results.']",Scientific results can be interpreted in different ways.,1,arc
"A weasel is cursed by a witch, where is the weasel stuck?","['imagination', 'great outdoors', 'chicken coop', 'fairytale']",fairytale,3,csqa
Which of the following best describes an interaction between Earth and solar energy that functions to warm up the planet?,"['absorption of solar energy by continental land masses', 'use of solar energy in the process of photosynthesis', 'reflection of solar energy from polar snowcaps', 'transformation of solar energy into auroras']",absorption of solar energy by continental land masses,0,arc
"Wonder is the story of a ten-year-old boy who lives with his parents and sister in New York. August, or Auggie, is an ordinary boy in many ways. He rides a bike and likes playing with his Xbox. But Auggie has deformities  of the face and looks very different from other children.
At the start of the book, he tells us ""My name is August. I won't describe what I look like. Whatever you're thinking, it's probably worse."" In the street, people look at Auggie and his appearance shocks them.
Auggie has never been to school because he has spent a lot of time in hospital. His mother teaches him at home. But now he's ten, she thinks he should go to school. At first, Auggie doesn't want to go. He worries that other students will look at him and say bad things. But then he visits a school with his mum. He likes the head teacher and decides to go. Auggie's first year at school has good times and bad times. Auggie makes some good friends but other children are unfriendly to him. At the end of the year, Auggie goes on a school trip and a frightening event there changes things completely.

What is Wonder?","['The name of a place.', 'The name of a book.', 'The name of a person.', 'The name of a picture.']",The name of a book.,1,race
"In pea plants, the allele for smooth peas is dominant (S). If a heterozygous smooth pea plant (Ss) is crossed with a homozygous smooth pea plant (SS), which are the possible genotypes the offspring could have?","['only SS', 'only Ss', 'Ss or SS', 'ss or SS']",Ss or SS,2,arc
In which taxonomic group are organisms found that share the characteristic of storing hereditary material in a single loop of DNA?,"['bacteria', 'fungi', 'plants', 'animals']",bacteria,0,arc
Name the East African country which lies on the equator.,"['jamhuri ya kenya', 'kenyan', 'republic of kenya', 'kenya']",kenya,3,trivia
What was the first name of the fictional sleuth Baretta?,"['tony film', 'tony disambiguation', 'tonie', 'tony']",tony,3,trivia
"Our little boy came up to his mother one evening while she was cooking supper, and handed her a piece of paper with some words written on. And this is what it said:
For cutting the grass in the garden $5.00
For cleaning up my bedroom this week $1. 00
For going to the store for you $0. 50
For baby-sitting my kid brother while you went shopping $2. 25
For taking out the rubbish $1. 00
For getting a good report card $5. 00
Total owed  :  $14.75
After reading, his mother thought for a while. Then she picked up the pen, turned over the paper and wrote:
For the nine months I carried you while you were growing inside me--free
For the nights and days I worried about you--free
For the toys, clothes, food--free
For all the love I've given you--free
Then with tears in his eyes, our son looked straight up at his mother and said, ""Mom, I love you. "" And he took the pen and wrote: ""PAID IN FULL"".

We can learn from the passage that   _  .","[""the boy is the writer's only child"", 'the boy never asked his mother for money', ""the boy's mother bought toys for him"", ""the boy's mother paid him all money he asked for""]",the boy's mother bought toys for him,2,race
